2.459945500000000000e+06 2.175730301469112980e-03 1.430251365108284106e-03 -3.290137309639592312e-05 -2.915049762272179800e-04 5.001623946551969364e-04 5.067903904984580234e-05
2.459945500694443937e+06 2.175527840522403864e-03 1.430598682651600985e-03 -3.286617891271865859e-05 -2.915825487890745960e-04 5.001121282779441872e-04 5.068020972741687992e-05
2.459945501388888806e+06 2.175325325708998923e-03 1.430945965283922979e-03 -3.283098391651566783e-05 -2.916601123093661894e-04 5.000618509917557908e-04 5.068137912359534260e-05
2.459945502083333209e+06 2.175122757035179155e-03 1.431293212997674985e-03 -3.279578810867682333e-05 -2.917376667867507887e-04 5.000115627983130195e-04 5.068254723841629820e-05
2.459945502777778078e+06 2.174920134507222960e-03 1.431640425785284934e-03 -3.276059149009224829e-05 -2.918152122198871819e-04 4.999612636992969289e-04 5.068371407191520691e-05
2.459945503472222015e+06 2.174717458131412203e-03 1.431987603639177939e-03 -3.272539406165132732e-05 -2.918927486074342106e-04 4.999109536963886827e-04 5.068487962412739339e-05
2.459945504166666884e+06 2.174514727914027886e-03 1.432334746551784102e-03 -3.269019582424412262e-05 -2.919702759480507170e-04 4.998606327912699871e-04 5.068604389508810776e-05
2.459945504861110821e+06 2.174311943861356212e-03 1.432681854515532004e-03 -3.265499677876037118e-05 -2.920477942403965185e-04 4.998103009856220058e-04 5.068720688483276278e-05
2.459945505555556156e+06 2.174109105979678182e-03 1.433028927522851962e-03 -3.261979692608964730e-05 -2.921253034831311078e-04 4.997599582811264448e-04 5.068836859339673732e-05
2.459945506250000093e+06 2.173906214275280000e-03 1.433375965566176897e-03 -3.258459626712162697e-05 -2.922028036749146820e-04 4.997096046794646850e-04 5.068952902081543736e-05
2.459945506944444031e+06 2.173703268754447002e-03 1.433722968637941029e-03 -3.254939480274606747e-05 -2.922802948144076008e-04 4.996592401823183238e-04 5.069068816712435019e-05
2.459945507638888899e+06 2.173500269423467128e-03 1.434069936730575975e-03 -3.251419253385263801e-05 -2.923577769002704951e-04 4.996088647913691757e-04 5.069184603235877336e-05
2.459945508333332837e+06 2.173297216288627015e-03 1.434416869836517908e-03 -3.247898946133108910e-05 -2.924352499311643752e-04 4.995584785082989466e-04 5.069300261655428227e-05
2.459945509027778171e+06 2.173094109356215036e-03 1.434763767948204951e-03 -3.244378558607069013e-05 -2.925127139057504141e-04 4.995080813347893426e-04 5.069415791974643195e-05
2.459945509722222108e+06 2.172890948632520865e-03 1.435110631058073060e-03 -3.240858090896121195e-05 -2.925901688226901099e-04 4.994576732725223948e-04 5.069531194197066906e-05
2.459945510416666977e+06 2.172687734123835909e-03 1.435457459158562959e-03 -3.237337543089231697e-05 -2.926676146806455030e-04 4.994072543231801347e-04 5.069646468326262319e-05
2.459945511111110914e+06 2.172484465836451144e-03 1.435804252242114075e-03 -3.233816915275328137e-05 -2.927450514782787964e-04 4.993568244884443764e-04 5.069761614365782227e-05
2.459945511805555783e+06 2.172281143776657979e-03 1.436151010301166915e-03 -3.230296207543357107e-05 -2.928224792142521929e-04 4.993063837699972599e-04 5.069876632319173329e-05
2.459945512500000186e+06 2.172077767950750856e-03 1.436497733328165024e-03 -3.226775419982295012e-05 -2.928998978872287087e-04 4.992559321695210330e-04 5.069991522190010102e-05
2.459945513194445055e+06 2.171874338365022920e-03 1.436844421315549994e-03 -3.223254552681087767e-05 -2.929773074958713056e-04 4.992054696886979439e-04 5.070106283981862282e-05
2.459945513888888992e+06 2.171670855025772083e-03 1.437191074255769058e-03 -3.219733605728646047e-05 -2.930547080388433250e-04 4.991549963292101324e-04 5.070220917698282665e-05
2.459945514583332930e+06 2.171467317939291056e-03 1.437537692141267059e-03 -3.216212579213923898e-05 -2.931320995148084876e-04 4.991045120927399548e-04 5.070335423342851150e-05
2.459945515277777798e+06 2.171263727111878185e-03 1.437884274964492098e-03 -3.212691473225878753e-05 -2.932094819224306771e-04 4.990540169809698761e-04 5.070449800919132731e-05
2.459945515972222202e+06 2.171060082549830950e-03 1.438230822717890970e-03 -3.209170287853398926e-05 -2.932868552603744815e-04 4.990035109955823613e-04 5.070564050430691720e-05
2.459945516666667070e+06 2.170856384259449868e-03 1.438577335393913942e-03 -3.205649023185470989e-05 -2.933642195273041095e-04 4.989529941382602005e-04 5.070678171881112762e-05
2.459945517361111008e+06 2.170652632247031984e-03 1.438923812985011064e-03 -3.202127679310992744e-05 -2.934415747218844747e-04 4.989024664106855335e-04 5.070792165273977790e-05
2.459945518055554945e+06 2.170448826518879982e-03 1.439270255483634988e-03 -3.198606256318901295e-05 -2.935189208427809783e-04 4.988519278145414756e-04 5.070906030612859250e-05
2.459945518749999814e+06 2.170244967081296113e-03 1.439616662882237932e-03 -3.195084754298114772e-05 -2.935962578886589132e-04 4.988013783515106003e-04 5.071019767901337720e-05
2.459945519444444217e+06 2.170041053940580025e-03 1.439963035173274066e-03 -3.191563173337560116e-05 -2.936735858581842229e-04 4.987508180232758060e-04 5.071133377143003941e-05
2.459945520138889086e+06 2.169837087103039172e-03 1.440309372349199944e-03 -3.188041513526166298e-05 -2.937509047500226882e-04 4.987002468315197747e-04 5.071246858341450688e-05
2.459945520833333023e+06 2.169633066574974071e-03 1.440655674402471038e-03 -3.184519774952839253e-05 -2.938282145628411200e-04 4.986496647779255133e-04 5.071360211500249731e-05
2.459945521527777892e+06 2.169428992362692175e-03 1.441001941325543902e-03 -3.180997957706507276e-05 -2.939055152953057868e-04 4.985990718641762458e-04 5.071473436623001976e-05
